                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6232,                 6.5892,                 1.3408,                0.00059,                0.17647,                0.00057,                0.00039,                0.90985,                 6.6652,                 1.0326,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.6125,                 6.6485,                 1.3162,                0.00176,                0.52941,                0.00143,                0.00068,                 1.0249,                 6.1401,                0.95797,             0.00013931,             0.00013931,             0.00013931
                      3,                 1.4175,                 5.6246,                 1.0961,                0.00314,                0.94118,                0.94508,                0.53448,                  1.027,                 6.0823,                0.91973,             0.00021782,             0.00021782,             0.00021782
                      4,                 1.2502,                 4.6376,                 1.0863,                0.00294,                0.88235,                0.01234,                0.00529,                 1.0591,                 6.1543,                0.95817,             0.00029554,             0.00029554,             0.00029554
                      5,                 1.5102,                 5.1755,                 1.1833,                0.00216,                0.64706,                0.05953,                0.04039,                0.96298,                 6.0638,                0.93387,             0.00037248,             0.00037248,             0.00037248
                      6,                 1.2419,                  3.959,                 1.0547,                0.00216,                0.64706,                0.14694,                0.05162,                0.86413,                 5.9292,                 0.9158,             0.00044862,             0.00044862,             0.00044862
                      7,                 1.1488,                 3.8123,                  1.063,                0.00255,                0.76471,                0.23878,                0.06224,                0.87655,                 5.8433,                0.91523,             0.00052396,             0.00052396,             0.00052396
                      8,                 1.1973,                 3.2654,                 1.0153,                0.00216,                0.64706,                0.02215,                0.00965,                0.92883,                 5.8053,                0.92999,             0.00059852,             0.00059852,             0.00059852
                      9,                 1.2779,                 4.0479,                 1.0886,                0.00137,                0.41176,                0.00596,                0.00118,                0.97395,                 5.8729,                0.94903,             0.00067228,             0.00067228,             0.00067228
                     10,                 1.2144,                 3.5863,                  1.058,                0.00216,                0.64706,                0.00711,                0.00344,                0.88983,                 5.9766,                0.94388,             0.00074525,             0.00074525,             0.00074525
                     11,                 1.0694,                 3.4616,                 1.0501,                0.00314,                0.94118,                 0.0386,                 0.0271,                0.92155,                 5.6196,                 0.9332,             0.00081743,             0.00081743,             0.00081743
                     12,                 1.1621,                  2.797,                 1.0339,                0.00314,                0.94118,                0.13823,                0.10914,                0.84273,                 5.4907,                0.91537,             0.00088882,             0.00088882,             0.00088882
                     13,                 1.1106,                  2.887,                 1.0073,                0.00314,                0.94118,                0.30884,                0.22068,                0.90449,                 5.5101,                0.93734,             0.00095941,             0.00095941,             0.00095941
                     14,                 1.1419,                 2.9173,                 1.0099,                0.00335,                0.94118,                 0.7924,                0.55388,                0.95047,                 5.4439,                 0.9577,              0.0010292,              0.0010292,              0.0010292
